"Year","Montgomery.AL","Mobile.AL","Phoenix.AZ","Flagstaff.AZ","Fort.Smith.AR","Sacramento.CA","Los.Angeles.CA","Fresno.CA","Eureka.CA","Grand.Junction.CO","Denver.CO","Colorado.Springs.CO","Tampa.FL","Pensacola.FL","Jacksonville.FL","Washington.DC.DC","Savannah.GA","Augusta.GA","Atlanta.GA","Boise.ID","Springfield..IL","Moline.IL","Chicago.IL","Indianapolis.IN","Evansville.IN","Cedar.Rapids.IA","Dubuque.IA","Des.Moines.IA","Topeka.KS","Dodge.City.KS","Concordia.KS","Louisville.KY","Shreveport.LA","Portland.ME","Baltimore.MD","Boston.MA","Sault.Ste.Marie.MI","Marquette.MI","Lansing.MI","Grand.Rapids.MI","Detroit.MI","Minneapolis.MN","Duluth.MN","Meridian.MS","Springfield.MO","Kansas.City.MO","Helena.MT","Havre.MT","Valentine.NE","Omaha.NE","North.Platte.NE","Winnemucca.NV","Concord.NH","Roswell.NM","Albuquerque.NM","Rochester.NY","New.York.NY","Albany.NY","Raleigh.NC","Charlotte.NC","Williston.ND","Fargo.ND","Bismarck.ND","Columbus.OH","Oklahoma.OK","Pittsburgh.PA","Philadelphia.PA","Middletown.Harrisburg.PA","Erie.PA","Columbia.SC","Sioux.Falls.SD","Huron.SD","Nashville.TN","Memphis.TN","Chattanooga.TN","San.Antonio.TX","Houston.TX","Dallas.Fort.Worth.TX","Corpus.Christi.TX","Amarillo.TX","Abilene.TX","Salt.Lake.City.UT","Norfolk.VA","Lynchburg.VA","Spokane.WA","Seattle.WA","Eau.Claire.WI","Milwaukee.WI","Madison.WI","La.Crosse.WI","Green.Bay.WI","Lander.WY","Cheyenne.WY"
1903,-0.2,-0.85,NA,NA,-0.011,-1.27,-2.075,-0.45,-0.494,NA,-0.189,NA,-0.893,-0.335,NA,-1.256,-0.135,-0.304,-0.456,-0.231,-0.239,0.277,-1.044,0.372,NA,NA,0.975,-0.002,0.092,-0.08,0.05,0.429,-0.243,-1.349,NA,NA,0.342,0.379,-0.398,NA,-0.276,0.354,1.32,-0.587,-0.239,NA,0.027,-1.048,-0.084,0.185,0.408,-0.672,-0.231,NA,-0.396,0.497,-0.161,1.002,0.195,-0.426,-1.704,-0.468,-0.613,0.413,-0.681,1.712,0,-0.296,0.021,-0.235,NA,NA,-0.068,-0.095,-0.005,0.004,NA,NA,-1.051,-1.509,-0.545,-0.286,-0.137,NA,0.266,-0.136,NA,0.333,0.396,NA,NA,-1.116,-0.461
1904,-0.322,-0.9,NA,NA,-0.013,-1.288,-1.716,-0.348,-0.371,NA,-0.151,-0.991,-0.975,-0.368,NA,-1.684,-0.291,-0.397,-0.603,-0.001,-0.552,-0.067,-1.36,-0.052,NA,NA,0.535,-0.365,-0.199,-0.144,-0.138,0.19,-0.217,-1.123,NA,NA,-0.066,0.01,-0.635,NA,-0.647,-0.162,NA,-0.587,-0.552,NA,0.176,-1.15,-0.227,-0.075,0.426,-0.522,-0.553,NA,-0.255,0.044,-0.378,0.574,-0.026,-0.65,NA,-0.74,-0.934,0.087,-0.652,1.372,-0.333,-0.683,-0.437,-0.475,NA,NA,-0.185,-0.221,-0.219,-0.099,NA,NA,-1.086,-1.396,-0.504,-0.202,-0.436,NA,0.42,0.054,NA,0.043,-0.021,NA,NA,-0.961,-0.47
1905,-0.271,-0.722,-1.35,NA,0.137,-1.332,-1.629,-0.297,-0.18,NA,-0.119,-0.866,-0.887,-0.243,-0.371,-1.693,-0.202,-0.243,-0.519,0.155,-0.495,-0.003,-1.233,-0.083,NA,0.24,0.432,-0.402,-0.256,-0.158,-0.216,0.27,-0.147,-0.998,-0.578,-0.977,-0.014,0.021,-0.42,NA,-0.581,-0.241,NA,-0.532,-0.495,-0.541,0.194,-0.855,-0.296,-0.094,0.416,-0.445,-0.678,NA,-0.16,0.006,-0.335,0.48,0.067,-0.539,NA,-0.605,-0.882,0.082,-0.592,1.348,-0.305,-0.661,-0.394,-0.387,NA,-0.942,-0.114,-0.233,-0.14,-0.123,NA,NA,-0.996,-1.311,-0.429,-0.07,-0.439,-0.014,0.44,0.128,NA,0.134,-0.13,NA,NA,-0.941,-0.488
1906,-0.388,-0.706,-1.401,NA,-0.153,-1.358,-1.449,-0.342,-0.175,NA,-0.286,-0.985,-0.879,-0.276,-0.478,-1.646,-0.285,-0.347,-0.616,0.259,-0.54,0.012,-1.091,-0.174,0.221,0.126,0.354,-0.434,-0.414,-0.446,-0.324,0.189,-0.314,-0.81,-0.566,-0.906,0.118,0.051,-0.221,NA,-0.47,-0.241,NA,-0.68,-0.54,-0.596,0.253,-0.53,-0.335,-0.093,0.336,-0.513,-0.636,NA,-0.114,0.095,-0.192,0.51,0.089,-0.593,NA,-0.371,-0.684,0.059,-0.87,1.315,-0.212,-0.602,-0.362,-0.476,NA,-0.837,-0.183,-0.431,-0.249,-0.264,NA,NA,-0.992,-1.476,-0.705,-0.104,-0.413,-0.045,0.535,0.274,NA,0.216,-0.147,-0.121,0.051,-1.029,-0.619
1907,-0.447,-0.625,-1.312,NA,-0.139,-1.374,-1.304,-0.312,-0.11,NA,-0.129,-0.811,-0.842,-0.278,-0.55,-1.784,-0.301,-0.362,-0.611,0.377,-0.555,-0.057,-1.053,-0.298,0.209,0.076,0.279,-0.5,-0.505,-0.473,-0.383,0.078,-0.332,-0.759,-0.711,-1.029,-0.161,-0.183,-0.323,-0.203,-0.647,-0.419,NA,-0.775,-0.555,-0.663,0.18,-0.623,-0.42,-0.148,0.244,-0.436,-0.815,NA,-0.078,-0.075,-0.258,0.323,-0.011,-0.624,NA,-0.52,-0.737,-0.149,-0.806,1.064,-0.356,-0.794,-0.506,-0.472,NA,-0.849,-0.229,-0.463,-0.265,-0.172,NA,NA,-0.871,-1.242,-0.527,0.07,-0.559,-0.2,0.477,0.226,0.08,0.084,-0.319,-0.236,-0.166,-0.978,-0.523
1908,-0.385,-0.43,-1.379,-0.422,-0.096,-1.355,-1.381,-0.321,-0.123,NA,-0.016,-0.625,-0.778,-0.204,-0.605,-1.86,-0.304,-0.344,-0.583,0.542,-0.434,0.043,-0.81,-0.257,0.248,0.134,0.376,-0.359,-0.362,-0.261,-0.26,0.132,-0.218,-0.728,-0.729,-0.983,-0.181,-0.137,-0.237,-0.153,-0.71,-0.366,NA,-0.802,-0.434,-0.53,0.29,-0.407,-0.316,-0.017,0.396,-0.379,-0.824,NA,-0.094,-0.199,-0.263,0.194,-0.046,-0.645,NA,-0.385,-0.606,-0.167,-0.72,0.923,-0.369,-0.88,-0.597,-0.479,NA,-0.762,-0.169,-0.386,-0.204,-0.081,NA,-0.863,-0.666,-1.015,-0.422,0.111,-0.565,-0.27,0.528,0.091,0.199,0.134,-0.228,-0.141,-0.121,-0.908,-0.426
1909,-0.386,-0.262,-1.463,-0.519,0.006,-1.349,-1.426,-0.278,-0.123,NA,0.033,-0.656,-0.732,-0.172,-0.619,-1.79,-0.339,-0.354,-0.615,0.686,NA,-0.021,-0.75,-0.345,0.242,-0.108,0.308,-0.39,-0.353,-0.286,-0.345,0.129,-0.157,-0.736,-0.659,-0.952,-0.059,-0.081,-0.187,-0.253,-0.773,-0.425,NA,-0.737,NA,-0.489,0.306,-0.2,-0.28,-0.053,0.428,-0.252,-0.757,NA,-0.111,-0.292,-0.298,0.124,0.017,-0.603,NA,-0.347,-0.452,-0.297,-0.58,0.765,-0.31,-0.875,-0.656,-0.504,NA,-0.79,-0.085,-0.31,-0.163,0.084,NA,-0.596,-0.509,-0.841,-0.299,0.193,-0.536,-0.241,0.536,-0.084,0.296,0.084,-0.264,-0.174,-0.084,-0.874,-0.34
1910,-0.478,-0.223,-1.386,-0.443,-0.064,-1.342,-1.462,-0.12,-0.353,NA,0.117,-0.6,-0.862,-0.28,-0.756,-1.915,-0.5,-0.458,-0.747,0.618,NA,-0.101,-0.609,-0.523,0.025,-0.34,0.232,-0.43,-0.414,-0.308,-0.474,-0.076,-0.19,-0.758,-0.79,-0.961,-0.232,-0.111,-0.197,-0.372,-0.865,-0.443,NA,-0.78,NA,-0.533,0.199,-0.184,-0.405,-0.083,0.313,-0.221,-0.715,NA,-0.11,-0.449,-0.36,-0.029,-0.13,-0.703,NA,-0.356,-0.465,-0.513,-0.488,0.482,-0.417,-1.058,-0.795,-0.666,NA,-0.955,-0.233,-0.466,-0.295,0.164,NA,-0.504,-0.485,-0.583,-0.114,0.247,-0.676,-0.445,0.505,-0.278,0.283,0.008,-0.31,-0.262,-0.154,-0.935,-0.256
1911,-0.119,0.219,-1.551,-0.647,0.05,-1.519,-1.464,-0.243,-0.55,NA,0.028,-0.747,-0.52,0.023,-0.376,-1.683,-0.236,-0.085,-0.411,0.335,NA,0.046,-0.214,-0.293,0.246,-0.388,0.303,-0.379,-0.34,-0.38,-0.461,0.194,0.03,-0.787,-0.571,-0.771,-0.265,-0.032,0.067,-0.25,-0.683,-0.455,NA,-0.383,NA,-0.465,-0.197,-0.668,-0.508,-0.036,0.183,-0.395,-0.607,NA,-0.293,-0.253,-0.261,0.032,0.125,-0.417,NA,-0.547,-0.773,-0.318,-0.35,0.588,-0.253,-0.916,-0.603,-0.36,NA,-1.152,0.085,-0.28,0.081,0.233,NA,-0.381,-0.403,-0.444,-0.055,0.018,-0.457,-0.22,0.389,-0.449,0.379,0.157,-0.211,-0.266,-0.02,-1.169,-0.304
1912,-0.26,0.148,-1.766,-0.81,-0.044,-1.51,-1.322,-0.239,-0.647,NA,-0.311,-1.1,-0.441,-0.12,-0.344,-1.726,-0.318,-0.142,-0.514,0.173,NA,-0.058,-0.245,-0.461,0.07,-0.658,0.103,-0.501,-0.393,-0.66,-0.513,0.075,-0.175,-0.71,-0.596,-0.697,-0.627,-0.357,-0.107,-0.456,-0.918,-0.617,NA,-0.522,NA,-0.563,-0.227,-0.717,-0.625,-0.103,-0.062,-0.423,-0.607,NA,-0.728,-0.37,-0.292,-0.014,0.117,-0.505,NA,-0.67,-0.809,-0.462,-0.493,0.349,-0.265,-0.934,-0.711,-0.395,NA,-1.206,-0.087,-0.469,-0.054,0.038,NA,-0.567,-0.648,-0.621,-0.222,-0.102,-0.447,-0.263,0.379,-0.519,0.129,-0.096,-0.452,-0.508,-0.336,-1.521,-0.539
1913,-0.074,0.332,-1.935,-1.027,0.165,-1.411,-1.288,-0.127,-0.716,-0.497,-0.458,-1.227,-0.302,-0.02,-0.138,-1.424,-0.182,0.014,-0.325,0.079,NA,0.202,0.153,-0.214,0.311,-0.482,0.347,-0.212,-0.143,-0.547,-0.221,0.267,-0.071,-0.718,-0.301,-0.417,-0.647,-0.306,0.095,-0.221,-0.75,-0.359,NA,-0.378,NA,-0.311,-0.344,-0.807,-0.546,0.157,-0.026,-0.317,-0.377,NA,-1.12,-0.231,-0.098,0.2,0.291,-0.384,NA,-0.5,-0.593,-0.316,-0.402,0.417,0.02,-0.643,-0.522,-0.245,NA,-0.902,0.129,-0.31,0.17,0.196,NA,-0.387,-0.612,-0.571,-0.112,-0.031,-0.234,-0.02,0.32,-0.588,0.349,0.095,-0.287,-0.327,-0.188,-1.625,-0.585
1914,-0.097,0.353,-1.88,-1.09,0.267,-1.436,NA,-0.134,-0.747,-0.551,-0.456,-1.273,-0.317,-0.088,-0.052,-1.142,-0.136,0.078,-0.234,-0.002,NA,0.509,0.621,0.056,0.511,-0.159,0.637,0.152,0.069,-0.428,0.057,0.37,-0.131,-0.693,-0.015,-0.154,-0.322,-0.013,0.334,0.087,-0.513,-0.046,-0.517,-0.375,NA,-0.077,-0.424,-0.761,-0.475,0.428,0.027,-0.317,-0.224,NA,-1.34,-0.029,0.018,0.39,0.422,-0.276,NA,-0.219,-0.282,-0.122,-0.39,0.483,0.276,-0.378,-0.303,-0.17,NA,-0.663,0.216,-0.228,0.276,0.091,NA,-0.464,-0.676,-0.499,-0.259,0.109,-0.105,0.187,0.3,-0.602,0.621,0.338,-0.01,-0.053,0.105,-1.592,-0.618
1915,-0.007,0.393,-1.967,-1.205,0.367,-1.359,NA,-0.091,-0.785,-0.545,-0.432,-1.281,-0.36,-0.05,0.003,-1.005,-0.077,0.103,-0.164,0.104,NA,0.548,0.782,0.113,0.561,-0.087,0.675,0.268,0.088,-0.388,0.055,0.378,-0.076,-0.554,0.087,0.049,-0.161,0.095,0.297,0.18,-0.491,0.051,NA,-0.274,NA,-0.02,-0.206,-0.835,-0.514,0.44,0.003,-0.208,0.011,NA,-1.497,0.068,0.008,0.547,0.51,-0.241,NA,-0.13,-0.155,-0.101,-0.36,0.47,0.409,-0.274,-0.209,-0.118,NA,-0.641,0.305,-0.122,0.333,0.211,NA,-0.268,-0.56,-0.38,-0.131,0.263,-0.038,0.287,0.462,-0.522,0.694,0.405,0.102,0.002,0.25,-1.337,-0.615
1916,0.047,0.43,-2.054,-1.273,0.567,-1.463,NA,-0.212,-0.99,-0.735,-0.506,-1.249,-0.304,-0.021,0.066,-1.1,0.003,0.188,-0.144,-0.095,NA,0.456,0.689,0.086,0.582,-0.197,0.576,0.229,0.043,-0.367,-0.042,0.312,0.027,-0.849,0.005,0.008,-0.339,-0.138,0.119,0.095,-0.59,-0.163,NA,-0.232,NA,-0.053,-0.6,-1.349,-0.682,0.347,-0.073,-0.395,-0.061,NA,-1.731,-0.013,-0.275,0.448,0.465,-0.231,-1.637,-0.371,-0.42,-0.174,-0.234,0.376,0.302,-0.377,-0.284,-0.037,NA,-0.832,0.243,-0.015,0.315,0.352,0.228,-0.101,-0.44,-0.198,0.067,0.25,-0.121,0.226,0.099,-0.861,0.441,0.206,-0.028,-0.199,0.04,-1.465,-0.727
1917,-0.161,0.23,-2.131,-1.411,0.311,-1.358,NA,-0.108,-1.196,-1.138,-0.647,-1.425,-0.401,-0.289,-0.082,-1.148,-0.146,0.035,-0.371,-0.214,NA,0.188,0.446,-0.126,0.417,-0.483,0.305,0.043,-0.146,-0.517,-0.199,0.017,-0.233,-0.802,-0.018,-0.069,-0.509,-0.364,-0.097,-0.048,-0.692,-0.364,NA,-0.415,NA,-0.26,-0.582,-1.277,-0.844,0.194,-0.191,-0.585,-0.127,NA,-1.947,-0.199,-0.495,0.328,0.293,-0.394,-1.518,-0.399,-0.463,-0.357,-0.393,0.234,0.265,-0.414,-0.427,-0.193,-0.736,-0.946,-0.077,-0.307,0.03,0.251,0.096,-0.277,-0.577,-0.323,-0.067,0.086,-0.27,0.103,0.203,-0.884,0.153,-0.029,-0.285,-0.5,-0.228,-1.532,-0.985
1918,-0.16,0.197,-2.123,-1.342,0.294,NA,NA,-0.084,-1.106,-1.024,-0.65,NA,-0.324,-0.354,-0.089,-1.125,-0.189,0.066,-0.37,-0.131,NA,0.137,0.309,-0.233,0.315,-0.483,0.259,0.099,-0.146,-0.59,-0.209,-0.197,-0.276,-0.611,-0.059,-0.2,-0.719,-0.592,-0.251,-0.12,-0.712,-0.424,NA,-0.378,NA,-0.229,-0.52,-1.323,-0.88,0.252,-0.23,-0.544,-0.259,NA,-2.006,-0.299,-0.678,0.244,0.272,-0.387,-1.524,-0.419,-0.508,-0.452,-0.355,0.188,0.202,-0.439,-0.478,-0.172,-0.889,-1.002,-0.195,-0.404,-0.002,0.194,0.057,-0.27,-0.742,-0.322,-0.022,0.305,-0.308,0.099,0.358,-0.806,0.07,-0.131,-0.367,-0.61,-0.36,-1.347,-1.024
1919,-0.077,0.212,-2.11,-1.374,0.262,NA,NA,-0.06,-1.091,-1.062,-0.529,NA,-0.218,-0.376,-0.035,-1.001,-0.091,0.203,-0.284,-0.229,NA,0.247,0.45,-0.04,0.444,-0.213,0.365,0.233,-0.12,-0.623,-0.142,-0.132,-0.367,-0.517,0.029,-0.139,-0.542,-0.468,-0.19,0.07,-0.483,-0.368,NA,-0.337,NA,-0.181,-0.292,-1.138,-0.796,0.408,-0.253,-0.537,-0.184,NA,-2.17,-0.153,-0.666,0.347,0.343,-0.27,-1.464,-0.369,-0.425,-0.35,-0.506,0.31,0.266,-0.347,-0.295,-0.054,-0.8,-0.868,-0.181,-0.411,0.043,-0.088,-0.067,-0.571,-0.872,-0.499,-0.318,0.381,-0.236,0.204,0.397,-0.73,0.106,-0.01,-0.269,-0.518,-0.295,-1.192,-0.919
1920,-0.12,0.145,-2.374,-1.633,0.169,NA,NA,-0.25,-1.045,-1.466,-0.885,NA,-0.114,-0.464,-0.052,-1.064,-0.081,0.203,-0.34,-0.364,NA,0.209,0.369,-0.073,0.442,-0.081,0.265,0.197,-0.218,-0.806,-0.177,-0.219,-0.455,-0.558,-0.024,-0.219,-0.562,-0.595,-0.252,-0.002,-0.51,-0.49,NA,-0.358,NA,-0.275,-0.471,-1.329,-0.942,0.314,-0.421,-0.709,-0.214,NA,-2.404,-0.193,-0.801,0.253,0.251,-0.351,-1.527,-0.5,-0.518,-0.434,-0.733,0.25,0.2,-0.431,-0.313,-0.082,-1,-0.9,-0.248,-0.43,-0.025,-0.23,-0.142,-0.803,-0.924,-0.771,-0.628,0.07,-0.271,0.147,0.305,-0.76,0,-0.08,-0.356,-0.616,-0.395,-1.609,-1.289
1921,-0.073,0.11,-2.198,-1.427,0.277,NA,NA,-0.111,-0.865,-1.295,-0.722,NA,-0.083,-0.534,-0.101,-0.914,0.002,0.258,-0.27,-0.113,NA,0.466,0.613,0.132,0.636,0.39,0.502,0.473,-0.064,-0.617,0.102,-0.101,-0.336,-0.413,0.137,-0.079,-0.253,-0.38,0.01,0.262,-0.245,-0.204,NA,-0.271,NA,-0.099,-0.024,-0.804,-0.713,0.585,-0.111,-0.395,-0.061,NA,-2.247,0.039,-0.664,0.43,0.321,-0.26,-1.089,-0.152,-0.075,-0.291,-0.673,0.417,0.358,-0.264,-0.06,-0.011,-0.562,-0.538,-0.128,-0.27,0.039,-0.159,-0.115,-0.735,-0.769,-0.626,-0.523,0.395,-0.159,0.29,0.413,-0.735,0.25,0.158,-0.159,-0.375,-0.142,-1.303,-1.162
1922,0.249,0.377,-2.07,-1.306,0.588,NA,NA,-0.055,-0.966,-0.965,-0.397,NA,0.057,-0.31,0.006,-0.717,0.171,0.492,-0.03,-0.04,NA,0.842,0.988,0.53,1.045,0.96,0.862,0.85,0.228,-0.276,0.374,0.209,-0.018,-0.525,0.323,-0.004,0.061,-0.046,0.422,0.663,0.162,0.112,NA,0.058,NA,0.233,-0.073,-0.829,-0.523,0.904,0.222,-0.551,0.038,NA,-1.828,0.286,-0.581,0.612,0.434,-0.055,-0.985,0.058,0.108,0.005,-0.355,0.728,0.513,-0.077,0.248,0.166,-0.199,-0.324,0.214,0.095,0.326,0.04,0.129,-0.453,-0.475,-0.29,-0.351,0.423,-0.032,0.458,0.375,-0.891,0.574,0.531,0.219,-0.066,0.166,-1.143,-0.972
1923,0.268,0.393,-1.959,-1.164,0.62,NA,NA,-0.118,-0.873,-0.84,-0.351,NA,0.051,-0.316,-0.026,-0.841,0.181,0.506,-0.079,0.092,NA,0.746,0.868,0.419,0.982,NA,0.736,0.746,0.166,-0.254,0.264,0.099,0.082,-0.359,0.189,-0.199,-0.06,-0.101,0.319,0.516,0.084,0.113,NA,0.103,NA,0.145,0.046,-0.561,-0.47,0.835,0.272,-0.628,-0.201,-0.958,-1.53,0.078,-0.788,0.326,0.349,-0.068,-0.895,0.139,0.183,-0.096,-0.219,0.626,0.343,-0.25,0.147,0.149,0,-0.249,0.1,0.093,0.26,0.176,0.273,-0.299,-0.263,-0.235,-0.271,0.372,-0.117,0.338,0.587,-0.757,0.553,0.433,0.173,-0.111,0.117,-1.136,-0.94
1924,0.223,0.366,-1.993,-1.198,0.472,NA,-1.255,-0.091,-0.881,-0.977,-0.523,NA,0.12,-0.364,-0.076,-0.93,0.166,0.468,-0.172,-0.056,NA,0.457,0.556,0.194,0.79,NA,0.406,0.424,-0.079,-0.541,-0.084,-0.122,0.071,-0.443,0.109,-0.127,-0.247,-0.311,0.152,0.286,-0.061,-0.146,NA,0.09,NA,-0.124,-0.125,-0.638,-0.757,0.524,-0.035,-0.833,-0.124,-0.99,-1.388,-0.039,-0.802,0.332,0.283,-0.107,-1.096,-0.096,0.021,-0.275,-0.391,0.475,0.286,-0.315,0.02,0.119,-0.05,-0.441,-0.08,-0.051,0.14,0.197,0.323,-0.315,-0.213,-0.405,-0.291,0.197,-0.108,0.201,0.527,-0.835,0.276,0.149,-0.117,-0.461,-0.167,-1.471,-1.159
1925,0.368,0.459,-1.728,-0.905,0.646,NA,-1.165,-0.089,-0.851,-0.957,-0.295,NA,0.282,-0.302,-0.014,-0.882,0.27,0.655,0.03,0.039,NA,0.503,NA,0.277,0.927,NA,0.416,0.493,0.058,-0.299,0.104,-0.036,0.299,-0.388,0.171,-0.08,-0.391,-0.358,0.18,0.303,0,-0.11,-0.704,0.244,NA,-0.042,-0.059,-0.488,-0.449,0.676,0.253,-0.755,-0.249,-0.787,-1.078,-0.052,-0.804,0.266,0.352,0.083,-1.024,-0.079,0.164,-0.191,-0.167,0.512,0.341,-0.305,0.042,0.284,0.284,-0.21,0.065,0.156,0.329,0.331,0.41,-0.04,-0.176,-0.171,-0.119,0.186,-0.03,0.283,0.65,-0.845,0.283,0.171,-0.099,-0.477,-0.25,-1.373,-0.949
1926,0.317,0.416,-1.516,-0.719,0.566,NA,-0.75,0.249,-0.48,-0.63,-0.107,NA,0.274,-0.386,-0.064,-0.928,0.211,0.641,-0.003,0.424,0.163,0.445,NA,0.16,0.849,NA,0.352,0.569,0.111,-0.199,0.303,-0.15,0.272,0.143,0.129,-0.145,-0.572,-0.456,0.048,0.152,-0.162,-0.009,-0.662,0.21,0.163,-0.03,0.5,0.209,-0.088,0.816,0.555,-0.382,-0.38,-0.872,-1.006,-0.254,-0.896,0.146,0.325,0.097,-0.466,0.197,0.619,-0.312,-0.148,0.399,0.268,-0.397,-0.114,0.248,0.706,0.177,0.063,0.095,0.287,0.26,0.297,-0.096,-0.206,-0.222,-0.202,0.46,-0.042,0.286,1.127,-0.361,0.316,0.093,-0.172,-0.514,-0.345,-1.067,-0.742
1927,0.725,0.713,-1.334,-0.475,0.88,NA,-0.721,0.221,-0.293,-0.394,-0.009,NA,0.491,-0.08,0.181,-0.611,0.479,0.964,0.357,0.479,0.51,0.868,NA,0.553,1.168,NA,0.758,0.934,0.336,-0.025,0.438,0.206,0.665,0.116,0.441,0.236,-0.114,-0.021,0.496,0.601,0.26,0.316,-0.355,0.598,0.51,0.236,0.445,0.182,0.14,1.094,0.753,-0.285,-0.073,-0.621,-0.684,0.179,-0.632,0.505,0.621,0.453,-0.402,0.38,0.761,0.111,0.092,0.745,0.543,-0.13,0.305,0.542,1.213,0.456,0.489,0.444,0.711,0.483,0.525,0.151,0.058,0.082,0.015,0.639,0.239,0.617,1.064,-0.298,0.707,0.517,0.263,-0.136,0.032,-1.003,-0.596
1928,0.613,0.614,-1.124,-0.329,0.841,-0.839,-0.693,0.297,-0.211,-0.306,-0.003,-0.212,0.381,-0.154,0.094,-0.576,0.443,0.925,0.252,0.452,0.513,0.945,NA,0.463,1.101,NA,0.791,0.883,0.346,-0.047,0.441,0.101,0.648,0.047,0.514,0.379,-0.042,0.026,0.451,0.609,0.273,0.332,-0.336,0.489,0.513,0.211,0.414,0.282,0.241,1.055,0.801,-0.227,0.015,-0.479,-0.55,0.265,-0.601,0.654,0.595,0.453,-0.317,0.455,0.851,0.065,0.148,0.624,0.595,-0.111,0.334,0.476,1.347,0.603,0.416,NA,0.584,0.507,0.442,0.169,0.12,0.16,-0.012,0.475,0.255,0.668,0.989,-0.241,0.724,0.563,0.32,-0.079,0.018,-1.153,-0.577
1929,0.549,0.539,-0.939,-0.128,0.708,-0.751,-0.515,0.328,-0.186,-0.387,-0.179,-0.265,0.421,-0.192,0.094,-0.565,0.394,0.897,0.169,0.413,0.234,0.753,NA,0.242,0.89,NA,0.548,0.653,0.243,-0.091,0.333,-0.105,0.642,0.101,0.528,0.396,-0.337,-0.184,0.215,0.349,0.09,0.182,-0.447,0.478,0.234,0.047,0.288,0.174,0.171,0.852,0.892,-0.222,-0.063,-0.468,-0.538,0.154,-0.568,0.63,0.547,0.38,-0.402,0.357,0.748,-0.058,0.215,0.467,0.608,-0.153,0.184,0.377,1.097,0.528,0.303,NA,0.482,0.656,0.425,0.328,0.223,0.313,0.196,0.145,0.252,0.623,0.939,-0.189,0.576,0.384,0.081,-0.288,-0.282,-1.322,-0.786
1930,0.674,0.576,-0.752,-0.094,0.832,-0.666,-0.265,0.406,-0.085,-0.258,-0.046,-0.188,0.479,-0.15,0.135,-0.284,0.484,1.041,0.312,0.387,0.385,0.928,NA,0.438,1.02,NA,0.712,0.826,0.44,0.074,0.419,0.093,0.76,0.12,0.815,0.626,-0.209,-0.018,0.333,0.53,0.321,0.372,-0.315,0.578,0.385,0.263,0.432,0.345,0.281,1.041,1.006,-0.236,0.043,-0.329,-0.619,0.341,-0.343,0.896,0.727,0.585,-0.269,0.558,0.845,0.235,0.42,0.637,0.847,0.072,0.362,0.483,1.153,0.758,0.482,NA,0.659,0.635,0.372,0.486,0.2,0.518,0.374,-0.049,0.414,0.84,0.943,-0.126,NA,0.554,0.235,-0.103,-0.108,-0.981,-0.691
1931,0.571,0.446,-0.627,-0.169,0.73,-0.562,0.085,0.577,0.001,-0.38,-0.046,-0.131,0.358,-0.259,0.081,-0.253,0.452,0.984,0.256,0.365,0.425,1.025,NA,0.413,0.936,NA,0.85,0.879,0.468,0.094,0.387,-0.021,0.595,0.266,0.913,0.687,-0.132,0.194,0.289,0.525,0.357,0.649,0.037,0.401,0.425,0.313,0.546,0.558,0.395,1.089,1.045,-0.208,0.078,-0.481,-0.663,0.34,-0.25,0.926,0.722,0.585,0.074,0.833,1.026,0.249,0.457,0.568,0.951,0.113,0.31,0.403,1.164,0.962,0.4,NA,0.626,0.469,0.206,0.391,0.035,0.474,0.232,-0.504,0.381,0.822,1.059,0.108,NA,0.67,0.378,0.101,0.009,-1.011,-0.678
1932,0.49,0.338,-0.472,-0.16,0.651,-0.457,0.185,0.686,0.057,-0.528,-0.075,-0.158,0.346,-0.333,0.117,-0.171,0.525,1.062,0.223,0.361,0.372,0.74,NA,0.302,0.819,NA,0.723,0.651,0.342,0.023,0.154,-0.152,0.592,0.451,1.009,0.803,-0.019,0.222,0.192,0.479,0.338,0.503,0.023,0.307,0.372,0.214,0.689,0.786,0.386,0.859,1.015,-0.088,0.153,-0.595,-0.781,0.385,-0.089,0.999,0.826,0.669,0.189,0.763,1.002,0.247,0.371,0.521,1.083,0.154,0.287,0.455,0.895,0.913,0.338,NA,0.59,0.373,0.084,0.281,-0.076,0.416,0.107,-0.8,0.464,0.892,1.18,0.279,NA,0.661,0.274,-0.027,0.02,-0.911,-0.714
1933,0.695,0.516,-0.269,-0.041,0.832,-0.468,0.057,0.754,-0.066,-0.539,0.397,0.184,0.489,-0.127,0.231,-0.071,0.699,1.257,0.401,0.414,0.639,0.774,NA,0.483,0.957,NA,0.881,0.805,0.611,0.34,0.409,-0.037,0.852,0.341,1.105,0.854,0.176,0.278,0.319,0.643,0.534,0.596,-0.017,0.542,0.639,0.479,0.861,0.845,0.639,1.04,1.299,0.083,0.278,-0.411,-0.793,0.623,0.044,1.226,1.033,0.793,0.252,0.779,1.048,0.441,0.613,0.624,1.196,0.219,0.441,0.638,0.695,1.076,0.519,NA,0.78,0.659,0.265,0.492,0.097,0.872,0.463,-0.824,0.624,1.034,1.181,0.253,NA,0.844,0.427,0.073,0.173,-0.449,-0.367
